"award_date","publish_date","title","award","authors","abstract"
"2024","TOSC 2023","Propagation of Subspaces in Primitives with Monomial
            Sboxes: Applications to Rescue and Variants of the AES","FSE 2024 best paper award","Aurélien
              Boeuf, Anne Canteaut, Léo Perrin","Motivated by progress in the field of zero-knowledge
          proofs, so-called Arithmetization-Oriented (AO) symmetric primitives have started to appear in the literature,
          such as MiMC, Poseidon or Rescue. Due to the design constraints implied by this setting, these algorithms are
          defined using simple operations over large (possibly prime) fields. In particular, many rely on simple
          low-degree monomials for their non-linear layers, essentially using x ↦ x3 as an S-box.In this paper, we show
          that the structure of the material injected in each round (be it subkeys in a block cipher or round constants
          in a public permutation) could allow a specific pattern, whereby a well-defined affine space is mapped to
          another by the round function, and then to another, etc. Such chains of one-dimensional subspaces always exist
          over 2 rounds, and they can be extended to an arbitrary number of rounds, for any linear layer, provided that
          the round-constants are well chosen.As a consequence, for several ciphers like Rescue, or a variant of AES
          with a monomial Sbox, there exist some round-key sequences for which the cipher has an abnormally high
          differential uniformity, exceeding the size of the Sbox alphabet.Well-known security arguments, in particular
          based on the wide-trail strategy, have been reused in the AO setting by many designers. Unfortunately, our
          results show that such a traditional study may not be sufficient to guarantee security. To illustrate this, we
          present two new primitives (the tweakable block cipher Snare and the permutation-based hash function Stir)
          that are built using state-of-the-art security arguments, but which are actually deeply flawed. Indeed, the
          key schedule of Snare ensures the presence of a subspace chain that significantly simplifies an algebraic
          attack against it, and the round constants of Stir force the presence of a subspace chain aligned with the
          rate and capacity of the permutation. This in turns implies the existence of many easy-to-find solutions to
          the so-called CICO problem."
"2024","FSE 2009","The Rebound Attack: Cryptanalysis of Reduced Whirlpool
            and Grøstl","FSE 2024 test-of-time award","Florian
              Mendel, Christian Rechberger, Martin Schläffer, Søren S. Thomsen",""
"2023","TCC 2023","Memory Checking for Parallel RAMs","TCC Best Young Researcher
            Award","Surya
              Mathialagan","When outsourcing a database to an untrusted remote
          server, one might want to verify the integrity of contents while accessing it. To solve this, Blum et al.
          [FOCS `91] propose the notion of \emph{memory checking}. Memory checking allows a user to run a RAM program on
          a remote server, with the ability to verify integrity of the storage with small private storage.

          In this work, we define and initiate the formal study of memory checking for \emph{Parallel RAMs} (PRAMs). The
          parallel RAM model is very expressive and captures many modern architectures such as multi-core architectures
          and cloud clusters. When multiple clients run a PRAM algorithm on a shared remote server, it is possible that
          there are concurrency issues that cause inconsistencies. Therefore, integrity verification is also a desirable
          property in this setting.

          We construct an online memory checker (one that reports faults as soon as they occur) for PRAMs with $O(\log
          N)$ simulation overhead in both work and depth. Moreover, we construct an offline memory checker (one that
          reports faults only after a long sequence of operations) with amortized $O(1)$ simulation overhead in both
          work and depth. As an application of our parallel memory checking constructions, we construct a
          \emph{maliciously secure oblivious parallel RAM} (OPRAM) with polylogarithmic overhead."
"2023","TCC 2007","Multi-authority Attribute Based Encryption","TCC Test-of-time award","Melissa
              Chase",""
"2023","CRYPTO 2023","Fast Practical Lattice Reduction through Iterated
            Compression","Best Paper Award","Keegan
              Ryan, Nadia Heninger","We introduce a new lattice basis reduction algorithm
          with approximation guarantees analogous to the LLL algorithm and practical performance that far exceeds the
          current state of the art. We achieve these results by iteratively applying precision management techniques
          within a recursive algorithm structure and show the stability of this approach. We analyze the asymptotic
          behavior of our algorithm, and show that the heuristic running time is $O(n^{\omega}(C+n)^{1+\varepsilon})$
          for lattices of dimension $n$, $\omega\in (2,3]$ bounding the cost of size reduction, matrix multiplication,
          and QR factorization, and $C$ bounding the log of the condition number of the input basis $B$. This yields a
          running time of $O\left(n^\omega (p + n)^{1 + \varepsilon}\right)$ for precision $p = O(\log \|B\|_{max})$ in
          common applications. Our algorithm is fully practical, and we have published our implementation. We
          experimentally validate our heuristic, give extensive benchmarks against numerous classes of cryptographic
          lattices, and show that our algorithm significantly outperforms existing implementations."
"2023","CRYPTO 2023","Fully Adaptive Schnorr Threshold Signatures","Best Early Career Paper","Elizabeth
              Crites, Chelsea Komlo, Mary Maller","We prove adaptive security of a simple three-round
          threshold
          Schnorr signature scheme, which we call Sparkle. The standard notion of
          security for threshold signatures considers a static adversary - one who
          must declare which parties are corrupt at the beginning of the protocol.
          The stronger adaptive adversary can at any time corrupt parties and
          learn their state. This notion is natural and practical, yet not proven to
          be met by most schemes in the literature.

          In this paper, we demonstrate that Sparkle achieves several levels of
          security based on different corruption models and assumptions. To begin
          with, Sparkle is statically secure under minimal assumptions: the discrete
          logarithm assumption (DL) and the random oracle model (ROM). If an
          adaptive adversary corrupts fewer than t/2 out of a threshold of t+1
          signers, then Sparkle is adaptively secure under a weaker variant of the
          one-more discrete logarithm assumption (AOMDL) in the ROM. Finally,
          we prove that Sparkle achieves full adaptive security, with a corruption
          threshold of t, under AOMDL in the algebraic group model (AGM) with
          random oracles. Importantly, we show adaptive security without requiring
          secure erasures. Ours is the first proof achieving full adaptive security
          without exponential tightness loss for any threshold Schnorr signature
          scheme; moreover, the reduction is tight."
"2023","PKC 2008","Unidirectional Chosen-Ciphertext Secure Proxy
            Re-encryption","PKC Test-of-time award","Benoît
              Libert, Damien Vergnaud",""
"2023","PKC 2023","Post-Quantum Anonymity of Kyber","Best paper award","Varun
              Maram, Keita Xagawa","Kyber is a key-encapsulation mechanism (KEM) that was
          recently selected by NIST in its PQC standardization process; it is also the only scheme to be selected in the
          context of public-key encryption (PKE) and key establishment. The main security target for KEMs, and their
          associated PKE schemes, in the NIST PQC context has been IND-CCA security. However, some important modern
          applications also require their underlying KEMs/PKE schemes to provide anonymity (Bellare et al., ASIACRYPT
          2001). Examples of such applications include anonymous credential systems, cryptocurrencies, broadcast
          encryption schemes, authenticated key exchange, and auction protocols. It is hence important to analyze the
          compatibility of NIST's new PQC standard in such ""beyond IND-CCA"" applications.

          Some starting steps were taken by Grubbs et al. (EUROCRYPT 2022) and Xagawa (EUROCRYPT 2022) wherein they
          studied the anonymity properties of most NIST PQC third round candidate KEMs. Unfortunately, they were unable
          to show the anonymity of Kyber because of certain technical barriers.

          In this paper, we overcome said barriers and resolve the open problems posed by Grubbs et al.(EUROCRYPT 2022)
          and Xagawa (EUROCRYPT 2022) by establishing the anonymity of Kyber, and the (hybrid) PKE schemes derived from
          it, in a post-quantum setting. Along the way, we also provide an approach to obtain tight IND-CCA security
          proofs for Kyber with concrete bounds; this resolves another issue identified by the aforementioned works
          related to the post-quantum IND-CCA security claims of Kyber from a provable security point-of-view. Our
          results also extend to Saber, a NIST PQC third round finalist, in a similar fashion."
"2023","PKC 2023","The Hidden Number Problem with Small Unknown
            Multipliers: Cryptanalyzing MEGA in Six Queries and Other Applications","Best paper award","Nadia
              Heninger, Keegan Ryan","In recent work, Backendal, Haller, and Paterson
          identified several exploitable vulnerabilities in the cloud storage provider MEGA. They demonstrated an RSA
          key recovery attack in which a malicious server could recover a client's private RSA key after 512 client
          login attempts. We show how to exploit additional information revealed by MEGA's protocol vulnerabilities
          to give an attack that requires only six client logins to recover the secret key.

          Our optimized attack combines several cryptanalytic techniques. In particular, we formulate and give a
          solution to a variant of the hidden number problem with small unknown multipliers, which may be of independent
          interest. We show that our lattice construction for this problem can be used to give improved results for the
          implicit factorization problem of May and Ritzenhofen."
"2023","EUROCRYPT 2023","A Direct Key Recovery Attack on SIDH","Best Paper Honorable Mention","Luciano
              Maino, Chloe Martindale, Lorenz Panny, Giacomo Pope, Benjamin Wesolowski","We present an attack on SIDH utilising isogenies between
          polarized products of two supersingular elliptic curves. In the case of arbitrary starting curve, our attack
          (discovered independently from [8]) has subexponential complexity, thus significantly reducing the security of
          SIDH and SIKE. When the endomorphism ring of the starting curve is known, our attack (here derived from [8])
          has polynomial-time complexity assuming the generalised Riemann hypothesis. Our attack applies to any
          isogeny-based cryptosystem that publishes the images of points under the secret isogeny, for example Séta [13]
          and B-SIDH [11]. It does not apply to CSIDH [9], CSI-FiSh [3], or SQISign [14]."
"2023","EUROCRYPT 2023","Worst-Case Subexponential Attacks on PRGs of Constant
            Degree or Constant Locality","Early Career Best Paper
            Award","Akın
              Ünal","In this work, we will give new attacks
          on the pseudorandomness of algebraic pseudorandom number generators (PRGs)
          of polynomial stretch.
          Our algorithms apply to a broad class of PRGs
          and are in the case of general local PRGs faster than currently known attacks.
          At the same time, in contrast to most algebraic attacks,
          subexponential time and space bounds will be proven for our attacks
          without making any assumptions of the PRGs or assuming any further conjectures.
          Therefore, we yield in this text the first subexponential distinguishing attacks on PRGs
          from constant-degree polynomials and close current gaps in the
          subexponential cryptoanalysis of lightweight PRGs.

          Concretely, against PRGs $F : \mathbb{Z}_q^{n} \rightarrow \mathbb{Z}_q^{m}$
          that are computed by polynomials of degree $d$ over a field $\mathbb{Z}_q$
          and have a stretch of $m = n^{1+e}$
          we give an attack with space and time complexities
          $n^{O(n^{1 - \frac{e}{d-1}})}$ and noticeable advantage
          $1 - {O(n^{1 - \frac{e}{d-1}}/{q})}$.
          If $q$ lies in $O(n^{1 - \frac{e}{d-1}})$, we give a second attack with
          the same space and time complexities
          whose advantage is at least $q^{-O(n^{1 - \frac{e}{d-1}})}$.
          If $F$ is of constant \emph{locality} $d$ and $q$ is constant,
          we construct a third attack that has a space and time complexity of
          $\exp(O(n^{1 - \frac{e'}{(q-1)d-1}}))$ and noticeable advantage
          $1-O(n^{-\frac{e'}{(q-1)d-1}})$ for every constant $e' < e$."
"2023","EUROCRYPT 2023","An efficient key recovery attack on SIDH","Best Paper Award","Wouter
              Castryck, Thomas Decru","We present an efficient key recovery attack on the
          Supersingular Isogeny Diffie-Hellman protocol (SIDH). The attack is based on Kani's ""reducibility
          criterion"" for isogenies from products of elliptic curves and strongly relies on the torsion point images
          that Alice and Bob exchange during the protocol. If we assume knowledge of the endomorphism ring of the
          starting curve then the classical running time is polynomial in the input size (heuristically), apart from the
          factorization of a small number of integers that only depend on the system parameters. The attack is
          particularly fast and easy to implement if one of the parties uses 2-isogenies and the starting curve comes
          equipped with a non-scalar endomorphism of very small degree; this is the case for SIKE, the instantiation of
          SIDH that recently advanced to the fourth round of NIST's standardization effort for post-quantum
          cryptography. Our Magma implementation breaks SIKEp434, which aims at security level 1, in about ten minutes
          on a single core."
"2023","EUROCRYPT 2023","Breaking SIDH in Polynomial Time","Best Paper Honorable Mention","Damien
              Robert","We show that we can break SIDH in (classical) polynomial
          time, even with a random starting curve~$E_0$."
"2022","ASIACRYPT 2022","Full Quantum Equivalence of Group Action DLog and CDH,
            and More","Best Paper Award","Hart
              Montgomery, Mark Zhandry","Cryptographic group actions are a relaxation of standard
          cryptographic groups that have less structure. This lack of structure allows them to be plausibly quantum
          resistant despite Shor's algorithm, while still having a number of applications. The most famous example
          of group actions are built from isogenies on elliptic curves.

          Our main result is that CDH for abelian group actions is quantumly equivalent to discrete log. Galbraith et
          al. (Mathematical Cryptology) previously showed perfectly solving CDH to be equivalent to discrete log
          quantumly; our result works for any non-negligible advantage. We also explore several other questions about
          group action and isogeny protocols."
"2022","ASIACRYPT 2022","SwiftEC: Shallue--van de Woestijne Indifferentiable
            Function to Elliptic Curves","Runner up Best Paper","Jorge
              Chavez-Saab, Francisco Rodriguez-Henriquez, Mehdi Tibouchi","Hashing arbitrary values to points on an elliptic curve
          is a required
          step in many cryptographic constructions, and a number of techniques have
          been proposed to do so over the years. One of the first ones was due to
          Shallue and van de Woestijne (ANTS-VII), and it had the interesting
          property of applying to essentially all elliptic curves over finite
          fields. It did not, however, have the desirable property of being
          *indifferentiable from a random oracle* when composed with a random
          oracle to the base field.

          Various approaches have since been considered to overcome this
          limitation, starting with the foundational work of Brier et al. (CRYPTO
          2011). For example, if f: F_q→E(F_q) is the Shallue--van de
          Woestijne (SW) map and H, H' are *two* independent random oracles,
          we now know that m↦f(H(m))+f(H'(m)) is
          indifferentiable from a random oracle. Unfortunately, this approach has
          the drawback of being twice as expensive to compute than the
          straightforward, but not indifferentiable, m↦f(H(m)).
          Most other solutions so far have had the same issue: they are at least as
          costly as two base field exponentiations, whereas plain encoding maps
          like f cost only one exponentiation. Recently, Koshelev (DCC 2022)
          provided the first construction of indifferentiable hashing at the cost
          of one exponentiation, but only for a very specific class of curves
          (some of those with j-invariant 0), and using techniques that are unlikely to
          apply more broadly.

          In this work, we revisit this long-standing open problem, and observe
          that the SW map actually fits in a one-parameter family (f_u)_{u∈F_q}
          of encodings, such that for independent random oracles H, H',
          F: m↦f_{H'(m)}(H(m)) is indifferentiable. Moreover, on a
          very large class of curves (essentially those that are either of odd
          order or of order divisible by 4), the one-parameter family admits a
          rational parametrization, which lets us compute F at almost the same
          cost as small f, and finally achieve indifferentiable hashing to most
          curves with a single exponentiation.

          Our new approach also yields an improved variant of the Elligator Squared
          technique of Tibouchi (FC 2014) that represents points of arbitrary
          elliptic curves as close-to-uniform random strings."
"2022","ASIACRYPT 2022","Cryptographic Primitives with Hinting
            Property","Best Paper by Early Career Researcher
            Award","Navid
              Alamati, Sikhar Patranabis","A hinting PRG is a (potentially) stronger variant of PRG
          with a ""deterministic"" form of circular security with respect to the seed of the PRG (Koppula and
          Waters, CRYPTO 2019). Hinting PRGs enable many cryptographic applications, most notably CCA-secure public-key
          encryption and trapdoor functions. In this paper, we study cryptographic primitives with the hinting property,
          yielding the following results:

          - We present a novel and conceptually simpler approach for designing hinting PRGs from certain decisional
          assumptions over cyclic groups or isogeny-based group actions, which enables simpler security proofs as
          compared to the existing approaches for designing such primitives.

          - We introduce hinting weak PRFs, a natural extension of the hinting property to weak PRFs, and show how to
          realize circular/KDM-secure symmetric-key encryption from any hinting weak PRF. We demonstrate that our simple
          approach for building hinting PRGs can be extended to realize hinting weak PRFs from the same set of
          decisional assumptions.

          - We propose a stronger version of the hinting property, which we call the functional hinting property, that
          guarantees security even in the presence of hints about functions of the secret seed/key. We show how to
          instantiate functional hinting PRGs and functional hinting weak PRFs for certain (families of) functions by
          building upon our simple techniques for realizing plain hinting PRGs/weak PRFs. We also demonstrate the
          applicability of a functional hinting weak PRF with certain algebraic properties in realizing KDM-secure
          public-key encryption in a black-box manner.

          - Finally, we show the first black-box separation between hinting weak PRFs (and hinting PRGs) from public-key
          encryption using simple realizations of these primitives given only a random oracle."
"2022","TCC 2011","Perfectly Secure Oblivious RAM Without Random
            Oracles","TCC Test of Time Award","Ivan
              Damgård, Sigurd Meldgaard, Jesper Buus Nielsen",""
"2022","TCC 2022","A Tight Computational Indistinguishability Bound of
            Product Distributions","Best Young Researcher Award","Nathan
              Geier","Assume that distributions X_0,X_1 (respectively Y_0,Y_1)
          are d_X (respectively d_Y) indistinguishable for circuits of a given size. It is well known that the product
          distributions X_0Y_0,X_1Y_1 are d_X+d_Y indistinguishable for slightly smaller circuits. However, in
          probability theory where unbounded adversaries are considered through statistical distance, it is folklore
          knowledge that in fact X_0Y_0 and X_1Y_1 are d_x+d_y-d_x*d_y indistinguishable, and also that this bound is
          tight.

          We formulate and prove the computational analog of this tight bound. Our proof is entirely different from the
          proof in the statistical case, which is non-constructive. As a corollary, we show that if X and Y are d
          indistinguishable, then k independent copies of X and k independent copies of Y are almost 1-(1-d)^k
          indistinguishable for smaller circuits, as against d*k using the looser bound. Our bounds are useful in
          settings where only weak (i.e. non-negligible) indistinguishability is guaranteed. We demonstrate this in the
          context of cryptography, showing that our bounds yield simple analysis for amplification of weak oblivious
          transfer protocols."
"2022","CRYPTO 2022","Batch Arguments for NP and More from Standard Bilinear
            Group Assumptions","Best Paper Award","Brent
              Waters, David J. Wu","Non-interactive batch arguments for NP provide a way to
          amortize the cost of NP verification across multiple instances. They enable a prover to convince a verifier of
          multiple NP statements with communication much smaller than the total witness length and verification time
          much smaller than individually checking each instance.

          In this work, we give the first construction of a non-interactive batch argument for NP from standard
          assumptions on groups with bilinear maps (specifically, from either the subgroup decision assumption in
          composite-order groups or from the k-Lin assumption in prime-order groups for any k >= 1). Previously,
          batch arguments for NP were only known from LWE, or a combination of multiple assumptions, or from
          non-standard/non-falsifiable assumptions. Moreover, our work introduces a new direct approach for batch
          verification and avoids heavy tools like correlation-intractable hash functions or probabilistically-checkable
          proofs common to previous approaches.

          As corollaries to our main construction, we obtain the first publicly-verifiable non-interactive delegation
          scheme for RAM programs (i.e., a succinct non-interactive argument (SNARG) for P) with a CRS of sublinear size
          (in the running time of the RAM program), as well as the first aggregate signature scheme (supporting bounded
          aggregation) from standard assumptions on bilinear maps."
"2022","CRYPTO 2022","Some Easy Instances of Ideal-SVP and Implications to
            the Partial Vandermonde Knapsack Problem","Best Paper by Early Career Researcher
            Award","Katharina
              Boudgoust, Erell Gachon, Alice Pellet-Mary","In this article, we generalize the works of Pan et al.
          (Eurocrypt'21) and Porter et al. (ArXiv'21) and provide a simple condition under which an ideal
          lattice defines an easy instance of the shortest vector problem. Namely, we show that the more automorphisms
          stabilize the ideal, the easier it is to find a short vector in it. This observation was already made for
          prime ideals in Galois fields, and we generalize it to any ideal (whose prime factors are not ramified) of any
          number field.

          We then provide a cryptographic application of this result by showing that particular instances of the partial
          Vandermonde knapsack problem, also known as partial Fourier recovery problem, can be solved classically in
          polynomial time. As a proof of concept, we implemented our attack and managed to solve those particular
          instances for concrete parameter settings proposed in the literature. For random instances, we can halve the
          lattice dimension with non-negligible probability."
"2022","CRYPTO 2022","Breaking Rainbow Takes a Weekend on a Laptop","Best Paper by Early Career Researcher
            Award","Ward
              Beullens","This work introduces new key recovery attacks against
          the Rainbow signature scheme, which is one of the three finalist signature schemes still in the NIST
          Post-Quantum Cryptography standardization project. The new attacks dramatically outperform previously known
          attacks for all the parameter sets submitted to NIST and make a key-recovery practical for the SL 1
          parameters. Concretely, given a Rainbow public key for the SL 1 parameters of the second-round submission, our
          attack returns the corresponding public key after on average 53 hours (one weekend) of computation time on a
          standard laptop."
"2022","EUROCRYPT 2022","EpiGRAM: Practical Garbled RAM","Best Paper Award","David
              Heath, Vladimir Kolesnikov, Rafail Ostrovsky","Garbled RAM (GRAM) is a powerful technique introduced by
          Lu and Ostrovsky that equips Garbled Circuit (GC) with a sublinear cost RAM without adding rounds of
          interaction. While multiple GRAM constructions are known, none are suitable for practice, due to costs that
          have high constants and poor scaling.

          We present the first GRAM suitable for practice. For computational security parameter $\kappa$ and for a
          size-$n$ RAM that stores blocks of size $w = \Omega(\log^2 n)$ bits, our GRAM incurs only amortized $O(w \cdot
          \log^2 n \cdot \kappa)$ communication and computation per access. We evaluate the concrete cost of our GRAM;
          our approach outperforms trivial linear-scan-based RAM for as few as $512$ $128$-bit elements."
"2022","PKC 2006","Curve25519: New Diffie-Hellman Speed Records","PKC Test of Time Award","Daniel J.
              Bernstein",""
"2022","PKC 2005","Password-Based Authenticated Key Exchange in the
            Three-Party Setting","PKC Test of Time Award","Michel
              Abdalla, Pierre-Alain Fouque, David Pointcheval",""
"2021","TCC 2005","Keyword Search and Oblivious Pseudorandom
            Functions","TCC Test-of-Time Award","Michael J.
              Freedman, Yuval Ishai, Benny Pinkas, Omer Reingold",""
"2021","TCHES 2021","My other car is your car: compromising the Tesla Model
            X keyless entry system","CHES 2021 Best Paper Award","Lennert
              Wouters, Benedikt Gierlichs, Bart Preneel","This paper documents a practical security evaluation of
          the Tesla Model X keyless entry system. In contrast to other works, the keyless entry system analysed in this
          paper employs secure symmetric-key and public-key cryptographic primitives implemented by a Common Criteria
          certified Secure Element. We document the internal workings of this system, covering the key fob, the body
          control module and the pairing protocol. Additionally, we detail our reverse engineering techniques and
          document several security issues. The identified issues in the key fob firmware update mechanism and the key
          fob pairing protocol allow us to bypass all of the cryptographic security measures put in place. To
          demonstrate the practical impact of our research we develop a fully remote Proof-of-Concept attack that allows
          to gain access to the vehicle’s interior in a matter of minutes and pair a modified key fob, allowing to drive
          off. Our attack is not a relay attack, as our new key fob allows us to start the car anytime anywhere.
          Finally, we provide an analysis of the update performed by Tesla to mitigate our findings. Our work highlights
          how the increased complexity and connectivity of vehicular systems can result in a larger and easier to
          exploit attack surface."
"2021","CHES 2001","A Sound Method for Switching between Boolean and
            Arithmetic Masking","CHES Test of Time Award","Louis
              Goubin",""
